yearstart,yearend,locationabbr,datasource,question,datavalueunit,datavaluetype,datavalue,stratificationcategory1,stratification1,:@computed_region_skr5_azej,:@computed_region_hjsp_umg2
2019,2019,AK,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,70.0,Overall,Overall,1673.0,51.0
2019,2019,DC,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,25.0,Sex,Female,1049.0,44.0
2019,2019,GU,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,2.9,Sex,Female,,
2019,2019,MS,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,10.3,Sex,Female,494.0,32.0
2019,2019,UT,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,3.1,Race/Ethnicity,Hispanic,900.0,13.0
2019,2019,UT,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,24.1,Race/Ethnicity,"White, non-Hispanic",900.0,13.0
2020,2020,DE,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,4.8,Sex,Female,1046.0,43.0
2020,2020,MA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.3,Age,Age 45-64,1919.0,25.0
2020,2020,PR,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,5.0,Race/Ethnicity,Hispanic,3050.0,
2020,2020,RI,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,37.2,Sex,Male,2658.0,27.0
2020,2020,WI,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,37.5,Sex,Female,3078.0,41.0
2021,2021,AZ,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,27.3,Sex,Male,986.0,7.0
2021,2021,DE,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,22.9,Age,Age >=65,1046.0,43.0
2021,2021,ID,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,5.8,Sex,Female,1687.0,5.0
2021,2021,MS,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,7.6,Sex,Male,494.0,32.0
2021,2021,NE,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,11.6,Age,Age >=65,2243.0,19.0
2021,2021,NJ,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.7,Sex,Male,489.0,46.0
2021,2021,NY,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.0,Sex,Male,2092.0,47.0
2022,2022,RI,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,6.8,Overall,Overall,2658.0,27.0
2022,2022,WY,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,6.9,Overall,Overall,3084.0,14.0
2019,2019,AZ,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,58.19,Race/Ethnicity,Hispanic,986.0,7.0
2019,2019,AR,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.5,Age,Age 18-44,998.0,15.0
2019,2019,CA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,3.9,Sex,Male,1340.0,8.0
2019,2019,CA,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,18.0,Sex,Female,1340.0,8.0
2019,2019,AL,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,13.54,Sex,Male,94.0,29.0
2019,2019,AK,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,39.1,Sex,Female,1673.0,51.0
2019,2019,AR,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,40.9,Race/Ethnicity,"Black, non-Hispanic",998.0,15.0
2019,2019,AK,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,59.3,Sex,Female,1673.0,51.0
2019,2019,AZ,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,39.8,Race/Ethnicity,Hispanic,986.0,7.0
2019,2019,AZ,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,242.4,Age,Age >=65,986.0,7.0
2019,2019,AR,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,93.77,Race/Ethnicity,"Black, non-Hispanic",998.0,15.0
2019,2019,AL,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,7.0,Race/Ethnicity,"Black, non-Hispanic",94.0,29.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,79.9,Sex,Female,1340.0,8.0
2019,2019,CA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,10.0,Age,Age >=65,1340.0,8.0
2019,2019,AZ,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,33.41,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",986.0,7.0
