locationabbr,year,COPD_Prevalence_overall_z,COPD_Prevalence_sex_diff_z,COPD_Prevalence_race_diff_z,Smoking_Rate_overall_z,Smoking_Rate_sex_diff_z,Smoking_Rate_race_diff_z,Mortality_Underlying_overall_z,Mortality_Underlying_sex_diff_z,Mortality_Underlying_race_diff_z,Mortality_Any_Cause_overall_z,Mortality_Any_Cause_sex_diff_z,Mortality_Any_Cause_race_diff_z,Hospitalization_Any_Dx_overall_z,Hospitalization_Any_Dx_sex_diff_z,Hospitalization_Any_Dx_race_diff_z,Hospitalization_Principal_Dx_overall_z,Hospitalization_Principal_Dx_sex_diff_z,Hospitalization_Principal_Dx_race_diff_z,COPD_Prevalence_yoy_change_z,Smoking_Rate_yoy_change_z,Mortality_Underlying_yoy_change_z,Mortality_Any_Cause_yoy_change_z,Hospitalization_Any_Dx_yoy_change_z,Hospitalization_Principal_Dx_yoy_change_z,Smoking_vs_Prevalence_Diff_z,Mortality_Any_vs_Underlying_Diff_z
AK,2019,-0.8670134910203037,1.9230719799272125,-9.340164453865598e-18,1.9777914286823877,-1.0635291700285905,0.0,-1.0294269550547213,-4.819618834137438,5.060717925350181e-16,-1.2215600025151114,-2.924553412340521,2.1861564096451463e-16,-1.6477554058845527,-2.17654358809941,-1.304965285779311,-0.893537085272684,-1.9711635986111107,0.0,-0.0598587864909568,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,2.3587124669806587,-1.171299038285749
AK,2020,-0.8670134910203037,-0.5212744811478307,-2.899428903642703,-0.013341334335177864,-1.9070506381632002,0.0,-1.0254828873437278,-0.1159358482438554,5.060717925350181e-16,-0.8855325947341013,0.014986407840176947,2.1861564096451463e-16,-1.9923957435043356,-1.175455400160661,-1.0975847979263462,-1.7231034228813347,0.9360582551443599,0.0,-0.0598587864909568,-2.59766706334149,0.4485800193109426,1.069453468925417,-0.8533265424894187,-0.8063272654202166,0.19145162001591723,-0.6669028945365398
AK,2021,-0.3456685070349446,0.636573842519295,-9.340164453865598e-18,-0.4037595231621515,-1.3490287438587663,0.0,-0.5798032360014233,-2.213822625989819,5.060717925350181e-16,-0.003673864669218034,0.15680631144538762,2.1861564096451463e-16,-1.8926199694020218,-1.9702587493726387,-1.2050269914685892,-1.7395304790716046,0.3259005821339525,0.0,1.7635319404643426,-0.3496619869392796,2.55311384943693,3.4882385819253567,0.7658040213682358,0.5254747928099671,-0.3609874194064679,0.3727707895179511
AK,2022,-0.4035957274777623,-0.13532503992545547,-9.340164453865598e-18,0.0,0.0,0.0,0.0,3.0646344785661155e-16,5.060717925350181e-16,0.0,0.0,2.1861564096451463e-16,6.191698820370289e-16,0.0,0.0,-3.64753920184986e-16,0.0,0.0,-0.2624577561526567,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,-8.051929157166427e-16,5.714206248188894e-16
AL,2019,1.8555658697921271,-1.2931733635925813,-1.6094551615864494,0.5592720092777168,1.0387858736299753,-0.9171026831578679,1.8418543385487987,2.3021547008422845,-2.4389672397374964,-0.041199768076234,0.3845776717810262,-1.4825352048855278,2.028698663440006,1.6296139264475074,-0.6023274486459105,3.734785996335975,-1.217439414304137,-0.9781723863848234,-0.0598587864909568,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,0.14895630929111836,-1.2639432279539697
AL,2020,1.6238569880208564,-0.13532503992545547,-0.3755672344022071,1.1969550510284404,-0.5963480492155759,-2.231656858950775,1.5460492602242604,1.8384113078668578,-1.9968131608985107,0.3255306515832426,1.020618451586207,-1.4825352048855283,1.2496633617153894,2.210042835414015,-0.22201619213923926,1.3035816801759694,1.4923784864185536,-0.7381179116813169,-0.8702546651377565,1.0941786718881565,-0.9794965082745447,1.2055101315316572,-2.4359472995149893,-3.4295737437523948,0.8997067987625648,-0.5176428111821831
AL,2021,1.4500753266924034,0.12197458755612803,-0.48773886414622913,0.5852998885328484,1.1426039004773119,1.3432892532665208,1.3015170621426424,0.833633956420107,-2.0515126345693133,0.3391764346403402,0.20837718548364362,-1.640064375955152,1.4683858010139117,1.5871435184743496,-0.13128722870356624,0.9996811406559686,0.03876755954081944,-0.6821052009171653,-0.6676556954760565,-0.6603618755477152,-0.735220260134919,-0.3591414884401728,1.1991595546360214,0.05463568131444751,0.27644224146551494,-0.3375013312717508
AL,2022,1.2762936653639503,-1.421823177333373,-0.26339560465818507,0.0,0.0,0.0,0.0,3.0646344785661155e-16,5.060717925350181e-16,0.0,0.0,2.1861564096451463e-16,6.191698820370289e-16,0.0,0.0,-3.64753920184986e-16,0.0,0.0,-0.6676556954760565,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,-8.051929157166427e-16,5.714206248188894e-16
AR,2019,2.087274751563398,-1.421823177333373,-0.6559963087622621,1.704498696503506,0.454809472613707,-0.3239501892025318,2.338806870134024,1.2752943306824156,-3.118152371149957,1.0709315510771589,1.0034281602401192,-2.1343121501860978,0.614845445265297,-0.9064761496639904,-1.5027953564285212,1.1639517025586719,-2.0608926681714643,-1.7183403500539656,-0.0598587864909568,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,1.3388250095854863,0.08969132108727373
AR,2020,1.160439224478315,-0.907223922370206,-0.4316530492742181,1.1839411114008747,-1.0894836767404248,0.0,2.390079750376944,1.2311282932561847,-2.2703105292525225,1.3319071520441352,0.3888752446175453,-1.693230471191151,0.07544628221435995,-0.934789754979427,-1.0225458056111287,-0.22824130956673658,-0.5713901134695876,-1.4942895069973603,-3.3014423010781555,-0.5324266272971828,0.6740657868244454,0.7368705158879195,-1.5628867013564505,-1.727826669347161,0.9988625237870954,0.4499742809081356
