locationabbr,year,COPD_Prevalence_overall,COPD_Prevalence_sex_diff,COPD_Prevalence_race_diff,Smoking_Rate_overall,Smoking_Rate_sex_diff,Smoking_Rate_race_diff,Mortality_Underlying_overall,Mortality_Underlying_sex_diff,Mortality_Underlying_race_diff,Mortality_Any_Cause_overall,Mortality_Any_Cause_sex_diff,Mortality_Any_Cause_race_diff,Hospitalization_Any_Dx_overall,Hospitalization_Any_Dx_sex_diff,Hospitalization_Any_Dx_race_diff,Hospitalization_Principal_Dx_overall,Hospitalization_Principal_Dx_sex_diff,Hospitalization_Principal_Dx_race_diff,COPD_Prevalence_yoy_change,Smoking_Rate_yoy_change,Mortality_Underlying_yoy_change,Mortality_Any_Cause_yoy_change,Hospitalization_Any_Dx_yoy_change,Hospitalization_Principal_Dx_yoy_change,Smoking_vs_Prevalence_Diff,Mortality_Any_vs_Underlying_Diff
AK,2019,46.0,4.0,-0.3037037037037037,544.0,-73.0,-84.79245283018868,0.8170000000000001,-0.248,-0.40193805309734515,1.7369999999999999,0.11099999999999999,-0.5061056910569106,42.77,-2.4399999999999977,3.539999999999999,3.66,-1.7400000000000002,4.654876033057851,0.0,0.0,0.0,0.0,0.0,0.0,498.0,0.9199999999999998
AK,2020,46.0,-15.0,-52.0,391.0,-138.0,-84.79245283018868,0.818,0.17800000000000005,-0.40193805309734515,1.9340000000000002,0.7949999999999999,-0.5061056910569106,34.86,2.510000000000005,9.619999999999997,1.64,-0.11999999999999988,4.654876033057851,0.0,-153.0,0.0009999999999998899,0.19700000000000029,-7.910000000000004,-2.0200000000000005,345.0,1.116
AK,2021,55.0,-6.0,-0.3037037037037037,361.0,-95.0,-84.79245283018868,0.9309999999999999,-0.0119999999999999,-0.40193805309734515,2.451,0.8280000000000003,-0.5061056910569106,37.15,-1.4200000000000017,6.470000000000006,1.6,-0.45999999999999996,4.654876033057851,9.0,-30.0,0.11299999999999999,0.5169999999999999,2.289999999999999,-0.039999999999999813,306.0,1.52
AK,2022,54.0,-12.0,-0.3037037037037037,392.02515723270443,8.953333333333333,-84.79245283018868,1.0780064102564104,0.18850000000000003,-0.40193805309734515,2.453153846153846,0.7915128205128206,-0.5061056910569106,80.58839743589745,8.322179487179486,41.799090909090914,5.83576923076923,-0.6416025641025641,4.654876033057851,-1.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,1.375147435897436
AL,2019,93.0,-21.0,-29.0,435.0,89.0,-142.0,1.545,0.39700000000000024,-0.9370000000000002,2.4290000000000003,0.8810000000000002,-1.2589999999999997,127.15,16.379999999999995,24.139999999999986,14.93,-1.3200000000000003,2.209999999999999,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.8840000000000003
AL,2020,89.0,-12.0,-7.0,484.0,-37.0,-224.0,1.47,0.355,-0.84,2.6439999999999997,1.0290000000000004,-1.259,109.27,19.25,35.28999999999999,9.01,0.1899999999999995,2.8100000000000005,-4.0,49.0,-0.07499999999999996,0.2149999999999994,-17.88000000000001,-5.92,395.0,1.1739999999999997
AL,2021,86.0,-10.0,-9.0,437.0,97.0,-1.0,1.4080000000000001,0.264,-0.8520000000000001,2.652,0.8399999999999999,-1.3389999999999997,114.29,16.17,37.95000000000002,8.27,-0.6200000000000001,2.950000000000001,-3.0,-47.0,-0.06199999999999983,0.008000000000000451,5.02000000000001,-0.7400000000000002,351.0,1.244
AL,2022,83.0,-22.0,-5.0,392.02515723270443,8.953333333333333,-84.79245283018868,1.0780064102564104,0.18850000000000003,-0.40193805309734515,2.453153846153846,0.7915128205128206,-0.5061056910569106,80.58839743589745,8.322179487179486,41.799090909090914,5.83576923076923,-0.6416025641025641,4.654876033057851,-3.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,1.375147435897436
AR,2019,97.0,-22.0,-12.0,523.0,44.0,-105.0,1.671,0.30400000000000005,-1.086,3.0810000000000004,1.025,-1.5899999999999999,94.7,3.839999999999989,-2.260000000000005,8.67,-1.79,0.3600000000000012,0.0,0.0,0.0,0.0,0.0,0.0,426.0,1.4100000000000004
AR,2020,81.0,-18.0,-8.0,483.0,-75.0,-84.79245283018868,1.6840000000000002,0.30000000000000004,-0.9000000000000001,3.234,0.8819999999999997,-1.366,82.32,3.700000000000003,11.819999999999993,5.28,-0.96,0.9200000000000008,-16.0,-40.0,0.013000000000000123,0.15299999999999958,-12.38000000000001,-3.3899999999999997,402.0,1.5499999999999998
