locationabbr,year,COPD_Prevalence_overall_z,COPD_Prevalence_sex_diff_z,COPD_Prevalence_race_diff_z,Smoking_Rate_overall_z,Smoking_Rate_sex_diff_z,Smoking_Rate_race_diff_z,Mortality_Underlying_overall_z,Mortality_Underlying_sex_diff_z,Mortality_Underlying_race_diff_z,Mortality_Any_Cause_overall_z,Mortality_Any_Cause_sex_diff_z,Mortality_Any_Cause_race_diff_z,Hospitalization_Any_Dx_overall_z,Hospitalization_Any_Dx_sex_diff_z,Hospitalization_Any_Dx_race_diff_z,Hospitalization_Principal_Dx_overall_z,Hospitalization_Principal_Dx_sex_diff_z,Hospitalization_Principal_Dx_race_diff_z,COPD_Prevalence_yoy_change_z,Smoking_Rate_yoy_change_z,Mortality_Underlying_yoy_change_z,Mortality_Any_Cause_yoy_change_z,Hospitalization_Any_Dx_yoy_change_z,Hospitalization_Principal_Dx_yoy_change_z,Smoking_vs_Prevalence_Diff_z,Mortality_Any_vs_Underlying_Diff_z
AK,2019,-0.8590953937401572,1.905509310866702,1.2848219590125777e-17,1.9597290281611248,-1.0538163714207516,2.257357641054741e-16,-1.0200255987236488,-4.7756031282952875,0.0,-1.210403969727124,-2.8978446025472087,0.0,-1.6327070961029746,-2.156666061344009,-1.2930475449517087,-0.8853767583136634,-1.9531617274862232,0.0,-0.07499241092667684,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,2.337171262647761,-1.1606020193519675
AK,2020,-0.8590953937401572,-0.5165138838859252,1.2848219590125777e-17,-0.01321949311332031,-1.8896342857909074,2.257357641054741e-16,-1.016117550650341,-0.11487705119610576,0.0,-0.8774453696765153,0.014849542801296379,0.0,-1.9741999674512412,-1.164720422789095,-1.0875609825034012,-1.7073669889417984,0.9275095988652114,0.0,-0.07499241092667684,-2.5712383019532012,0.45314539719972285,1.0537062259240666,-0.8394104184119464,-0.7910656534685279,0.18970316677103896,-0.6608123295683554
AK,2021,-0.3425116508917204,0.6307602609968982,1.2848219590125777e-17,-0.40007214434360366,-1.336708588592189,2.257357641054741e-16,-0.5745081183665164,-2.1936046442685098,0.0,-0.003640312690909049,0.1553742603400416,0.0,-1.8753354067195687,-1.9522651418842096,-1.1940219482455339,-1.723644023211662,0.3229242587667622,0.0,1.6814563461993446,-0.3429491932246026,2.5420351550228473,3.454318452295116,0.7673428103568739,0.5323177170592248,-0.35769066158969415,0.3693664187611287
AK,2022,-0.39990984454154677,-0.13408916892498407,1.2848219590125777e-17,0.0,0.0,2.257357641054741e-16,0.0,3.0366463628323904e-16,0.0,-7.505752365952164e-16,4.727690210316963e-16,0.0,6.135152441222987e-16,0.0,0.0,0.0,1.9741898968474384e-16,0.0,-0.2701533839406792,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,-7.978394017264205e-16,0.0
AL,2019,1.8386197078016795,-1.2813633138078075,-1.7054427735126456,0.554164395357762,1.0292990459325604,-0.9087271407512761,1.8250333986447078,2.281130016608405,-2.416693099753117,-0.04082350660518983,0.38106547335681146,-1.4689957869928365,2.0101713469269518,1.6147312957476,-0.5968266261301405,3.700677647220535,-1.2063210132469626,-0.9692391181111852,-0.07499241092667684,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,0.1475959492048287,-1.2524001256387518
AL,2020,1.609026933202374,-0.13408916892498407,-0.43245156042642086,1.1860237257005581,-0.5909018342311266,-2.2112760041104607,1.5319297931465943,1.8216218118239758,-1.9785770422890245,0.3225577066480111,1.011297539894208,-1.468995786992837,1.2382506718691761,2.189859373051157,-0.2199886045349709,1.2916765752806543,1.4787491736608551,-0.7313769676366824,-0.8556363029826864,1.088228364414091,-0.9643155098945361,1.1887406636574318,-2.4099329371202938,-3.397729868144403,0.8914901262078763,-0.5129153805507572
AL,2021,1.4368323522528952,0.12086064104897669,-0.5481780343433503,0.5799545721064475,1.1321689430858102,1.3310215145370776,1.2896308126014875,0.8260207014577191,-2.032776966923758,0.3360788680713868,0.20647415762685561,-1.6250863053610798,1.454975604128127,1.5726487535058777,-0.1300882334638355,0.9905514412881691,0.038413510485138844,-0.6758757991926315,-0.660475329968684,-0.650924110691157,-0.7218550915757785,-0.36415537027633466,1.1973855862920597,0.06445490929688794,0.27391760190345943,-0.3344190627708954
AL,2022,1.2646377713034163,-1.4088382187947879,-0.3167250865094913,0.0,0.0,2.257357641054741e-16,0.0,3.0366463628323904e-16,0.0,-7.505752365952164e-16,4.727690210316963e-16,0.0,6.135152441222987e-16,0.0,0.0,0.0,1.9741898968474384e-16,0.0,-0.660475329968684,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,-7.978394017264205e-16,0.0
AR,2019,2.068212482400985,-1.4088382187947879,-0.7217677452187446,1.6889321722999264,0.45065587444552924,-0.3209916780160344,2.317447455881539,1.263647563157173,-3.0896754973010516,1.061151149399869,0.9942642407986007,-2.1148203067414424,0.6092303007510675,-0.8981976552581821,-1.48907091044516,1.1533217839868097,-2.04207133632423,-1.7026474154075664,-0.07499241092667684,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,1.3265980410587153,0.08887220510706204
AR,2020,1.1498413840037638,-0.8989385988468663,-0.49031479738488554,1.1731286373262153,-1.079533845709064,2.257357641054741e-16,2.368252080834546,1.2198848769872277,-2.24957666546269,1.3197433616219145,0.38532379813071044,-1.6777668553103624,0.07475726063835694,-0.9262526834193284,-1.0132072921438162,-0.22615687038416898,-0.56617182961331,-1.4806427416313646,-3.197567979150715,-0.5241109093813993,0.6769550141093474,0.7236220447980417,-1.5435463921959303,-1.7067400058033861,0.9897403005290335,0.44586484066678295
AR,2021,1.4942305459027216,-0.38903897889894484,-1.1846736408864627,1.082863018705816,-0.7966416285376267,4.905088517656791,2.4659532826672503,0.25710578124843136,-2.638009458678275,1.6527019616725236,0.12556598692273183,-1.730447405259644,0.20945482809810317,-0.9783548785757491,-0.9182373512754366,-0.3034727831660234,-0.9751560302681439,-1.5163220642025401,1.0959734271573374,0.07372275393602976,0.9007646310189638,1.0537062259240682,0.8980884162272786,0.43206140111015234,0.8072756910754557,0.884455792925872
